"","Player","Team","Plays","EPA+CPOE composite","Adj. EPA/play","EPA/play","Success rate","Cmp%","Expected cmp%","CPOE","Air yards"
"1","P.Mahomes","","738","0.202","0.369","0.353","53.4%","68.1","63.7","4.4","9.0"
"2","P.Manning","","4329","0.167","0.257","0.236","52.2%","67.1","62.3","4.8","8.5"
"3","D.Brees","","7467","0.158","0.238","0.218","52.0%","70.0","65.4","4.5","7.7"
"4","A.Rodgers","","6658","0.152","0.234","0.226","50.6%","66.2","62.6","3.6","8.7"
"5","T.Brady","","6558","0.149","0.250","0.241","51.4%","65.5","63.4","2.0","8.3"
"6","P.Rivers","","6964","0.145","0.210","0.189","49.9%","66.4","62.4","4.0","8.4"
"7","J.Garoppolo","","435","0.143","0.246","0.234","52.2%","66.1","64.9","1.2","8.5"
"8","R.Wilson","","4318","0.141","0.178","0.166","48.7%","66.8","61.3","5.5","9.1"
"9","D.Watson","","973","0.139","0.194","0.174","50.5%","67.9","63.9","4.0","9.3"
"10","C.Pennington","","610","0.135","0.165","0.146","50.8%","68.4","62.9","5.4","8.1"
"11","B.Roethlisberger","","6554","0.132","0.186","0.167","49.9%","65.6","62.4","3.3","8.9"
"12","M.Ryan","","7130","0.130","0.191","0.174","50.4%","66.5","63.9","2.6","8.3"
"13","K.Warner","","1221","0.129","0.155","0.134","51.5%","67.6","62.7","4.9","7.4"
"14","T.Romo","","3937","0.127","0.175","0.153","49.5%","66.6","63.4","3.2","8.2"
"15","N.Mullens","","316","0.113","0.156","0.126","48.4%","67.4","65.5","1.9","7.2"
"16","J.Garcia","","441","0.113","0.131","0.108","48.5%","66.3","62.7","3.6","7.7"
"17","J.Winston","","2344","0.109","0.144","0.120","49.5%","62.5","60.4","2.0","10.4"
"18","M.Schaub","","3172","0.107","0.145","0.124","48.5%","65.5","63.9","1.6","7.9"
"19","D.Prescott","","1855","0.104","0.137","0.118","48.3%","67.1","65.5","1.6","7.9"
"20","B.Favre","","1606","0.102","0.110","0.076","48.8%","65.9","62.7","3.2","8.1"
"21","K.Cousins","","3102","0.100","0.118","0.092","48.7%","67.5","65.2","2.3","8.0"
"22","C.Wentz","","1735","0.100","0.132","0.116","47.8%","64.4","63.2","1.2","8.4"
"23","C.Palmer","","4894","0.096","0.121","0.099","48.2%","62.6","61.3","1.4","9.2"
"24","M.Mariota","","2040","0.093","0.110","0.080","47.9%","64.7","63.3","1.5","9.0"
"25","A.Luck","","3919","0.092","0.142","0.119","48.5%","61.9","62.8","-0.9","8.8"
"26","B.Mayfield","","570","0.089","0.103","0.079","46.8%","65.7","64.4","1.3","9.4"
"27","D.Garrard","","1785","0.087","0.071","0.052","47.3%","63.1","60.1","3.0","8.5"
"28","A.Dalton","","4663","0.086","0.105","0.085","47.3%","63.9","63.3","0.6","8.4"
"29","M.Vick","","1981","0.085","0.092","0.063","46.3%","60.9","59.6","1.3","9.5"
"30","J.Goff","","1449","0.084","0.130","0.107","46.4%","63.9","65.4","-1.5","8.1"
"31","C.Newton","","5259","0.081","0.117","0.100","47.2%","60.7","61.8","-1.2","9.3"
"32","A.Smith","","5082","0.080","0.096","0.085","45.8%","65.2","65.1","0.1","7.1"
"33","V.Young","","712","0.080","0.103","0.087","45.2%","59.6","60.0","-0.4","10.5"
"34","E.Manning","","6950","0.079","0.096","0.075","46.6%","62.6","62.7","-0.1","8.6"
"35","T.Taylor","","1888","0.078","0.079","0.070","42.8%","62.7","61.8","0.9","9.4"
"36","R.Griffin III","","1662","0.077","0.074","0.063","45.6%","64.3","63.3","1.0","8.4"
"37","J.Cutler","","5075","0.072","0.062","0.033","45.8%","62.5","61.7","0.8","8.7"
"38","T.Jackson","","856","0.071","0.057","0.032","44.5%","61.8","60.8","1.0","8.7"
"39","M.Stafford","","6226","0.070","0.099","0.074","47.3%","63.5","65.3","-1.8","7.8"
"40","M.Trubisky","","977","0.070","0.088","0.071","46.9%","64.5","65.7","-1.2","8.5"
"41","J.Flacco","","6554","0.069","0.071","0.055","44.8%","62.4","62.7","-0.3","8.6"
"42","J.McCown","","1905","0.068","0.060","0.037","45.2%","62.8","62.5","0.3","8.6"
"43","T.Bridgewater","","1086","0.066","0.041","0.031","43.6%","66.1","64.8","1.3","7.5"
"44","R.Fitzpatrick","","4978","0.066","0.073","0.054","45.2%","60.8","61.6","-0.9","8.6"
"45","M.Moore","","1016","0.064","0.038","0.011","42.4%","61.0","59.9","1.0","9.4"
"46","C.Kaepernick","","2309","0.064","0.084","0.073","44.4%","60.4","62.5","-2.1","9.0"
"47","D.McNabb","","1910","0.063","0.073","0.059","45.2%","60.7","62.2","-1.4","8.6"
"48","N.Foles","","1852","0.062","0.051","0.027","43.0%","62.9","63.0","-0.1","8.6"
"49","K.Orton","","2572","0.060","0.065","0.042","45.4%","61.5","63.0","-1.5","7.9"
"50","M.Barkley","","328","0.059","0.051","0.002","51.2%","60.0","60.6","-0.6","10.6"
"51","S.Hill","","1326","0.059","0.057","0.033","44.8%","62.5","63.5","-1.0","7.8"
"52","J.Kitna","","536","0.058","0.047","-0.008","45.9%","64.4","64.9","-0.5","7.6"
"53","R.Tannehill","","3509","0.058","0.027","0.007","45.6%","63.7","63.0","0.7","8.5"
"54","J.Campbell","","2273","0.057","0.046","0.033","44.4%","62.0","62.6","-0.6","7.5"
"55","D.Carr","","3197","0.054","0.046","0.023","44.6%","63.9","65.2","-1.2","7.8"
"56","C.Kessler","","447","0.052","-0.036","-0.046","42.7%","66.9","63.7","3.2","7.4"
"57","C.Keenum","","2152","0.049","0.035","0.018","44.9%","63.5","65.0","-1.5","7.8"
"58","T.Siemian","","1000","0.048","0.025","0.003","44.3%","61.0","61.9","-0.9","8.6"
"59","M.Flynn","","446","0.047","0.004","-0.057","44.4%","62.4","62.3","0.1","7.8"
"60","D.Orlovsky","","545","0.046","0.013","0.002","43.3%","60.9","61.4","-0.6","9.2"
"61","C.McCoy","","1133","0.045","0.015","0.003","44.3%","61.3","62.3","-1.0","7.8"
"62","T.Edwards","","800","0.044","-0.012","-0.035","43.9%","63.3","62.7","0.6","7.1"
"63","J.Locker","","890","0.040","0.025","0.012","42.7%","58.1","60.5","-2.4","9.7"
"64","K.Collins","","1107","0.040","0.038","0.027","44.4%","57.6","60.8","-3.2","9.0"
"65","M.Glennon","","950","0.039","-0.031","-0.046","42.2%","62.4","61.8","0.6","8.9"
"66","J.Freeman","","2424","0.039","0.026","0.002","44.5%","58.6","61.3","-2.7","9.0"
"67","M.Hasselbeck","","2496","0.039","0.011","-0.017","44.4%","60.7","62.5","-1.8","7.9"
"68","M.Cassel","","3175","0.035","0.006","-0.021","43.5%","60.2","62.3","-2.1","8.2"
"69","S.Bradford","","3407","0.035","-0.001","-0.026","44.1%","63.1","64.9","-1.8","7.3"
"70","L.Jackson","","334","0.032","0.058","0.026","47.9%","60.4","66.4","-6.0","8.8"
"71","B.Hoyer","","1607","0.032","0.018","0.003","43.7%","59.9","63.4","-3.4","9.0"
"72","S.Wallace","","682","0.031","-0.001","-0.011","41.9%","60.1","62.6","-2.5","7.8"
