"","Player","Team","Plays","EPA+CPOE composite","Adj. EPA/play","EPA/play","Success rate","Cmp%","Expected cmp%","CPOE","Air yards"
"1","P.Mahomes","","1333","0.188","0.340","0.330","52.7%","68.0","64.4","3.5","8.9"
"2","P.Manning","","3731","0.165","0.253","0.234","52.2%","67.1","62.4","4.7","8.5"
"3","D.Brees","","7197","0.160","0.237","0.218","52.1%","70.7","65.9","4.8","7.6"
"4","A.Rodgers","","6700","0.149","0.233","0.224","50.4%","66.2","63.0","3.3","8.6"
"5","T.Brady","","7240","0.143","0.238","0.228","50.7%","65.4","63.7","1.7","8.2"
"6","R.Wilson","","4985","0.142","0.178","0.164","48.9%","67.2","61.4","5.7","9.2"
"7","L.Jackson","","940","0.140","0.242","0.230","50.4%","66.2","65.3","0.9","8.8"
"8","J.Garoppolo","","1009","0.139","0.225","0.202","51.6%","68.7","66.9","1.9","7.4"
"9","P.Rivers","","7091","0.139","0.197","0.174","49.8%","66.6","62.7","3.9","8.4"
"10","B.Roethlisberger","","6070","0.137","0.197","0.179","50.2%","65.9","62.5","3.4","8.9"
"11","D.Watson","","1617","0.134","0.195","0.178","50.4%","68.3","65.2","3.2","9.0"
"12","T.Romo","","3436","0.131","0.187","0.168","50.0%","66.7","63.7","3.1","8.1"
"13","M.Ryan","","7350","0.126","0.181","0.162","50.3%","67.0","64.4","2.6","8.2"
"14","N.Mullens","","316","0.113","0.156","0.126","48.4%","67.4","65.5","1.9","7.2"
"15","K.Warner","","567","0.112","0.123","0.094","51.3%","67.2","63.2","4.0","7.8"
"16","D.Prescott","","2553","0.112","0.160","0.143","49.5%","67.2","65.7","1.4","8.3"
"17","K.Cousins","","3627","0.107","0.132","0.108","48.7%","68.2","65.7","2.5","8.0"
"18","M.Schaub","","2806","0.106","0.149","0.130","48.9%","65.4","64.2","1.2","7.9"
"19","J.Kitna","","386","0.106","0.135","0.085","47.9%","66.9","64.7","2.2","7.0"
"20","J.Winston","","3096","0.106","0.142","0.113","49.4%","62.6","60.9","1.7","10.5"
"21","B.Favre","","1012","0.106","0.122","0.093","48.3%","65.7","62.7","3.0","8.3"
"22","C.Palmer","","4745","0.099","0.127","0.104","48.3%","62.7","61.2","1.5","9.2"
