"","Player","Team","Plays","EPA+CPOE composite","Adj. EPA/play","EPA/play","Success rate","Cmp%","Expected cmp%","CPOE","Air yards"
"1","P.Mahomes","","2027","0.185","0.334","0.323","53.5%","68.1","64.8","3.3","8.7"
"2","P.Manning","","3119","0.158","0.240","0.219","51.7%","66.8","62.4","4.4","8.5"
"3","A.Rodgers","","6641","0.155","0.244","0.236","50.9%","67.1","63.5","3.6","8.5"
"4","D.Brees","","7053","0.154","0.229","0.209","51.9%","70.8","66.4","4.4","7.5"
"5","D.Watson","","2315","0.144","0.205","0.191","51.3%","69.8","65.6","4.2","9.0"
"6","R.Wilson","","5687","0.143","0.179","0.164","49.2%","67.8","61.9","5.9","9.1"
"7","T.Brady","","7290","0.143","0.239","0.228","50.5%","65.6","63.9","1.7","8.3"
"8","J.Garoppolo","","1171","0.136","0.222","0.202","51.4%","68.6","67.0","1.6","7.2"
"9","L.Jackson","","1515","0.133","0.224","0.213","49.5%","66.4","65.4","0.9","8.8"
"10","P.Rivers","","7134","0.133","0.187","0.164","49.6%","66.9","63.5","3.4","8.2"
"11","T.Romo","","2806","0.133","0.184","0.163","50.3%","67.4","63.8","3.6","8.2"
"12","B.Roethlisberger","","6128","0.130","0.191","0.175","50.0%","65.8","63.1","2.7","8.6"
"13","M.Ryan","","7559","0.127","0.182","0.164","50.4%","67.5","64.8","2.7","8.3"
"14","K.Cousins","","4237","0.113","0.144","0.119","49.3%","68.7","65.9","2.8","8.0"
"15","D.Prescott","","2807","0.112","0.163","0.144","50.1%","67.4","66.0","1.3","8.3"
"16","T.Hill","","310","0.112","0.103","0.090","50.0%","71.8","66.4","5.4","8.0"
"17","J.Herbert","","702","0.110","0.177","0.172","48.7%","68.2","68.2","-0.0","7.4"
"18","J.Kitna","","386","0.106","0.135","0.085","47.9%","66.9","64.7","2.2","7.0"
"19","J.Burrow","","485","0.106","0.136","0.122","49.1%","67.3","65.2","2.1","8.5"
"20","J.Winston","","3111","0.106","0.141","0.113","49.4%","62.6","60.9","1.7","10.4"
"21","D.Garrard","","476","0.101","0.087","0.077","47.9%","65.2","60.7","4.5","8.7"
"22","C.Palmer","","4198","0.100","0.126","0.103","48.3%","62.8","61.2","1.6","9.4"
"23","J.Allen","","1814","0.099","0.139","0.130","48.8%","65.0","64.4","0.7","9.4"
"24","A.Luck","","3919","0.092","0.142","0.119","48.5%","61.9","62.8","-0.9","8.8"
"25","M.Schaub","","2160","0.091","0.126","0.108","47.8%","64.3","64.2","0.1","7.9"
"26","B.Mayfield","","1794","0.090","0.121","0.101","47.8%","64.8","64.5","0.3","8.8"
"27","M.Mariota","","2295","0.090","0.109","0.081","47.5%","64.7","63.7","1.0","8.9"
"28","V.Young","","339","0.086","0.111","0.081","45.7%","59.1","58.8","0.3","11.6"
"29","K.Murray","","1443","0.086","0.109","0.089","47.5%","69.3","68.9","0.4","7.7"
"30","R.Fitzpatrick","","5162","0.085","0.114","0.095","47.0%","61.9","62.1","-0.2","8.7"
"31","R.Tannehill","","4436","0.084","0.087","0.066","47.7%","64.9","63.4","1.5","8.6"
"32","M.Vick","","1946","0.084","0.089","0.060","46.3%","61.0","59.7","1.3","9.5"
"33","M.Stafford","","6752","0.084","0.125","0.102","48.1%","64.4","65.6","-1.2","8.0"
"34","T.Bridgewater","","1922","0.082","0.073","0.062","45.7%","68.7","66.7","2.0","7.3"
"35","N.Mullens","","681","0.082","0.112","0.065","48.0%","66.7","67.3","-0.6","6.8"
"36","J.Goff","","2787","0.081","0.116","0.089","46.9%","65.6","66.6","-1.0","7.7"
"37","A.Smith","","4947","0.081","0.096","0.085","46.1%","65.9","65.6","0.2","7.0"
"38","A.Dalton","","5674","0.079","0.092","0.072","47.1%","64.0","63.9","0.1","8.2"
"39","D.Carr","","4385","0.077","0.086","0.060","46.2%","66.3","66.1","0.2","7.7"
"40","C.Wentz","","3038","0.077","0.089","0.074","47.2%","63.8","63.9","-0.1","8.4"
"41","C.Newton","","5906","0.076","0.106","0.089","47.2%","61.2","62.5","-1.3","9.1"
"42","T.Taylor","","1938","0.076","0.075","0.066","42.7%","62.6","61.7","0.9","9.4"
"43","E.Manning","","5987","0.071","0.080","0.057","46.2%","62.7","63.1","-0.4","8.5"
"44","R.Griffin III","","1748","0.070","0.061","0.048","45.5%","64.1","63.4","0.7","8.3"
"45","J.McCown","","1903","0.070","0.064","0.041","45.5%","63.0","62.5","0.5","8.6"
"46","J.Cutler","","3729","0.068","0.053","0.018","45.4%","62.6","61.8","0.7","8.7"
"47","K.Allen","","727","0.067","0.055","0.026","48.3%","66.8","66.4","0.4","8.1"
"48","K.Orton","","1433","0.065","0.075","0.056","45.8%","61.8","63.1","-1.3","8.2"
"49","J.Flacco","","5917","0.064","0.063","0.046","44.7%","62.7","63.3","-0.6","8.5"
"50","C.Kaepernick","","2309","0.064","0.084","0.073","44.4%","60.4","62.5","-2.1","9.0"
"51","M.Moore","","962","0.061","0.031","0.002","42.6%","61.4","60.5","0.9","9.2"
"52","M.Trubisky","","1956","0.060","0.060","0.046","47.3%","65.2","66.4","-1.1","8.2"
"53","G.Minshew II","","988","0.059","0.048","0.035","44.7%","65.9","66.5","-0.5","7.7"
"54","N.Foles","","2335","0.057","0.031","0.009","42.4%","64.0","63.8","0.3","8.5"
"55","M.Hasselbeck","","1688","0.055","0.042","0.014","45.6%","61.9","62.8","-0.9","8.0"
"56","T.Tagovailoa","","352","0.055","0.046","0.034","48.3%","66.2","67.4","-1.2","7.8"
"57","C.Kessler","","447","0.052","-0.036","-0.046","42.7%","66.9","63.7","3.2","7.4"
"58","T.Jackson","","641","0.052","0.002","-0.020","43.4%","61.5","60.4","1.1","8.8"
"59","S.Hill","","798","0.051","0.048","0.016","45.9%","63.0","65.0","-2.0","7.7"
"60","J.Freeman","","2078","0.050","0.054","0.031","45.0%","59.0","61.5","-2.5","8.9"
"61","J.Campbell","","1066","0.050","0.034","0.021","42.7%","59.6","60.8","-1.2","8.4"
"62","M.Flynn","","425","0.050","0.007","-0.045","44.7%","62.9","62.4","0.5","7.9"
"63","M.Rudolph","","380","0.049","0.031","0.022","41.1%","63.6","64.9","-1.2","8.5"
