spread_favorite,team_favorite_id,schedule_week,team_home,team_away,score_away,score_home,home_win,home_favorite,mov,cover,home_qb,away_qb,qb_getting_points,did_they_cover
-7.5,TB,1,TB,DAL,29,31,True,True,2,DAL,0.14300000000000002,0.11199999999999999,False,False
-6.5,BUF,1,BUF,PIT,23,16,False,True,7,PIT,0.099,0.13,True,True
-3.0,MIN,1,CIN,MIN,24,27,True,False,3,CIN,0.106,0.113,False,False
-7.5,SF,1,DET,SF,41,33,False,False,8,SF,0.081,0.136,False,True
-2.5,SEA,1,IND,SEA,28,16,False,False,12,SEA,0.077,0.14300000000000002,False,True
-6.0,KC,1,KC,CLE,29,33,True,True,4,CLE,0.185,0.09,False,False
-2.5,DEN,1,NYG,DEN,27,13,False,False,14,DEN,0.037000000000000005,0.08199999999999999,False,True
-3.0,TEN,1,TEN,ARI,38,13,False,True,25,ARI,0.084,0.086,True,True
-4.5,BAL,1,LV,BAL,27,33,True,False,6,LV,0.077,0.133,False,False
-4.0,ARI,2,ARI,MIN,33,34,True,True,1,MIN,0.086,0.113,True,True
-4.0,KC,2,BAL,KC,35,36,True,False,1,BAL,0.133,0.185,False,False
-3.5,NO,2,CAR,NO,7,26,True,False,19,CAR,0.027000000000000003,0.106,False,False
-3.0,LAC,2,LAC,DAL,20,17,False,True,3,DAL,0.11,0.11199999999999999,True,True
-3.0,BUF,2,MIA,BUF,35,0,False,False,35,BUF,0.031,0.099,False,True
-6.0,PIT,2,PIT,LV,26,17,False,True,9,LV,0.13,0.077,False,False
-5.5,SEA,2,SEA,TEN,33,30,False,True,3,TEN,0.14300000000000002,0.084,False,False
-12.5,TB,2,TB,ATL,25,48,True,True,23,TB,0.14300000000000002,0.127,False,True
-7.5,BAL,3,DET,BAL,19,17,False,False,2,DET,0.081,0.133,False,False
-7.0,KC,3,KC,LAC,30,24,False,True,6,LAC,0.185,0.11,False,False
-3.5,LVR,3,LV,MIA,28,31,True,False,3,LV,0.077,0.031,True,True
-2.0,SEA,3,MIN,SEA,17,30,True,False,13,MIN,0.113,0.14300000000000002,False,False
-2.5,NYG,3,NYG,ATL,17,14,False,True,3,ATL,0.037000000000000005,0.127,True,True
-2.5,PIT,3,PIT,CIN,24,10,False,True,14,CIN,0.13,0.106,False,False
-5.0,TEN,3,TEN,IND,16,25,True,True,9,TEN,0.084,0.077,False,True
-4.5,DAL,4,DAL,CAR,28,36,True,True,8,DAL,0.11199999999999999,0.027000000000000003,False,True
-1.0,DEN,4,DEN,BAL,23,7,False,True,16,BAL,0.08199999999999999,0.133,True,True
-2.5,MIA,4,MIA,IND,27,17,False,True,10,IND,0.031,0.077,True,True
-1.0,CLE,4,MIN,CLE,14,7,False,False,7,CLE,0.113,0.09,True,False
-7.0,NO,4,NO,NYG,27,21,False,True,6,NYG,0.106,0.037000000000000005,False,False
-2.5,SF,4,SF,SEA,28,21,False,True,7,SEA,0.136,0.14300000000000002,True,True
-3.0,LAC,4,LAC,LV,14,28,True,True,14,LAC,0.11,0.077,False,True
-7.0,DAL,5,DAL,NYG,20,44,True,True,24,DAL,0.11199999999999999,0.037000000000000005,False,True
-3.0,KC,5,KC,BUF,38,20,False,True,18,BUF,0.185,0.099,False,False
-2.5,LAC,5,LAC,CLE,42,47,True,True,5,LAC,0.11,0.09,False,True
-10.0,MIN,5,MIN,DET,17,19,True,True,2,DET,0.113,0.081,False,False
-1.5,DEN,5,PIT,DEN,19,27,True,False,8,PIT,0.13,0.08199999999999999,True,True
-11.0,TB,5,TB,MIA,17,45,True,True,28,TB,0.14300000000000002,0.031,False,True
-7.5,BAL,5,BAL,IND,25,31,True,True,6,IND,0.133,0.077,False,False
-3.0,BAL,6,BAL,LAC,6,34,True,True,28,BAL,0.133,0.11,False,True
-2.5,MIN,6,CAR,MIN,34,28,False,False,6,MIN,0.027000000000000003,0.113,False,True
-3.0,CLE,6,CLE,ARI,37,14,False,True,23,ARI,0.09,0.086,False,False
-5.0,DEN,6,DEN,LV,34,24,False,True,10,LV,0.08199999999999999,0.077,False,False
-3.5,CIN,6,DET,CIN,34,11,False,False,23,CIN,0.081,0.106,False,True
-5.5,PIT,6,PIT,SEA,20,23,True,True,3,SEA,0.13,0.025,False,False
-6.0,BUF,6,TEN,BUF,31,34,True,False,3,TEN,0.084,0.099,False,False
-2.0,CLE,7,CLE,DEN,14,17,True,True,3,CLE,0.048,0.08199999999999999,True,False
-6.5,BAL,7,BAL,CIN,41,17,False,True,24,CIN,0.133,0.106,False,False
-1.5,ATL,7,MIA,ATL,30,28,False,False,2,ATL,0.055,0.127,False,True
-3.0,CAR,7,NYG,CAR,3,25,True,False,22,NYG,0.037000000000000005,0.027000000000000003,True,True
-3.5,SF,7,SF,IND,30,18,False,True,12,IND,0.136,0.077,False,False
-4.0,KC,7,TEN,KC,3,27,True,False,24,TEN,0.084,0.185,False,False
-6.0,NO,7,SEA,NO,13,10,False,False,3,SEA,0.025,0.106,False,False
-2.5,ATL,8,ATL,CAR,19,13,False,True,6,CAR,0.127,0.027000000000000003,False,False
-5.5,CLE,8,CLE,PIT,15,10,False,True,5,PIT,0.09,0.13,True,True
-3.0,IND,8,IND,TEN,34,31,False,True,3,TEN,0.077,0.084,True,True
-4.0,TB,8,NO,TB,27,36,True,False,9,NO,0.106,0.14300000000000002,False,False
-10.5,KC,8,KC,NYG,17,20,True,True,3,NYG,0.185,0.037000000000000005,False,False
-7.0,BAL,9,BAL,MIN,31,34,True,True,3,MIN,0.133,0.113,False,False
-2.0,CIN,9,CIN,CLE,41,16,False,True,25,CLE,0.106,0.09,False,False
-10.0,DAL,9,DAL,DEN,30,16,False,True,14,DEN,0.11199999999999999,0.08199999999999999,False,False
-4.0,MIA,9,MIA,HOU,9,17,True,True,8,MIA,0.031,0.076,True,False
-6.5,NO,9,NO,ATL,27,25,False,True,2,ATL,0.047,0.127,True,True
-3.0,LVR,9,NYG,LV,16,23,True,False,7,NYG,0.037000000000000005,0.077,False,False
-5.5,SF,9,SF,ARI,31,17,False,True,14,ARI,0.136,0.035,False,False
-8.5,BAL,10,MIA,BAL,10,22,True,False,12,MIA,0.055,0.133,False,False
-7.5,DAL,10,DAL,ATL,3,43,True,True,40,DAL,0.11199999999999999,0.127,True,False
-3.0,GB,10,GB,SEA,0,17,True,True,17,GB,0.155,0.14300000000000002,False,True
-2.5,KC,10,LV,KC,41,14,False,False,27,KC,0.077,0.185,False,True
-3.0,LAC,10,LAC,MIN,27,20,False,True,7,MIN,0.11,0.113,True,True
-2.5,NE,10,NE,CLE,7,45,True,True,38,NE,0.026000000000000002,0.09,True,False
-6.0,PIT,10,PIT,DET,16,16,False,True,0,DET,0.049,0.081,True,True
-3.0,TEN,10,TEN,NO,21,23,True,True,2,NO,0.084,0.047,False,False
-7.0,BUF,11,BUF,IND,41,15,False,True,26,IND,0.099,0.077,False,False
-2.5,KC,11,KC,DAL,9,19,True,True,10,KC,0.185,0.11199999999999999,False,True
-2.0,CIN,11,LV,CIN,32,13,False,False,19,CIN,0.077,0.106,False,True
-6.0,LAC,11,LAC,PIT,37,41,True,True,4,PIT,0.11,0.13,True,True
-1.0,GB,11,MIN,GB,31,34,True,False,3,MIN,0.113,0.155,False,False
-3.5,MIA,11,NYJ,MIA,24,17,False,False,7,MIA,0.064,0.055,True,False
-4.5,SEA,11,SEA,ARI,23,13,False,True,10,ARI,0.14300000000000002,0.035,False,False
-10.0,TEN,11,TEN,HOU,22,13,False,True,9,HOU,0.084,0.076,False,False
-11.5,TB,11,TB,NYG,10,30,True,True,20,TB,0.14300000000000002,0.037000000000000005,False,True
-7.0,DAL,12,DAL,LV,36,33,False,True,3,LV,0.11199999999999999,0.077,False,False
-7.0,BUF,12,NO,BUF,31,6,False,False,25,BUF,0.047,0.099,False,True
-3.0,BAL,12,BAL,CLE,10,16,True,True,6,BAL,0.133,0.09,False,True
-3.5,CIN,12,CIN,PIT,10,41,True,True,31,CIN,0.106,0.13,True,False
-3.0,LAC,12,DEN,LAC,13,28,True,False,15,DEN,0.08199999999999999,0.11,False,False
-3.0,TB,12,IND,TB,38,31,False,False,7,TB,0.077,0.14300000000000002,False,True
-1.0,CAR,12,MIA,CAR,10,33,True,False,23,MIA,0.055,0.076,False,False
-4.0,SF,12,SF,MIN,26,34,True,True,8,SF,0.136,0.113,False,True
-6.5,DAL,13,NO,DAL,27,17,False,False,10,DAL,0.11199999999999999,0.11199999999999999,False,False
-10.5,TB,13,ATL,TB,30,17,False,False,13,TB,0.127,0.14300000000000002,False,True
-7.5,ARI,13,CHI,ARI,33,22,False,False,11,ARI,0.079,0.086,False,True
-2.5,CIN,13,CIN,LAC,41,22,False,True,19,LAC,0.106,0.11,True,True
-7.0,MIN,13,DET,MIN,27,29,True,False,2,DET,0.081,0.113,False,False
-8.5,KC,13,KC,DEN,9,22,True,True,13,KC,0.185,0.08199999999999999,False,True
-7.0,MIA,13,MIA,NYG,9,20,True,True,11,MIA,0.055,0.033,False,True
-4.0,BAL,13,PIT,BAL,19,20,True,False,1,PIT,0.13,0.133,False,False
